Marca;Modelo;Version;Kms;Potencia;Año;Combustible;Cambio;Precio;Distribuidor
CITROEN;C4 Cactus;CITROEN C4 Cactus PureTech 110 SS Feel 5p.;3011.0;110.0;2020.0;Gasolina;Manual;15100;Citroën Grupo Marcos - VO
CITROEN;C4 Cactus;CITROEN C4 Cactus PureTech 110 SS Feel 5p.;8753.0;110.0;2020.0;Gasolina;Manual;15100;Citroën Grupo Marcos - VO
CITROEN;C3;CITROEN C3 PureTech 81KW 110CV SS SHINE 5p.;15395.0;110.0;2019.0;Gasolina;Manual;15100;PSA Retail Valencia - Tres Cruces
CITROEN;C3 Aircross;CITROEN C3 Aircross PureTech 81kW 110CV SS FEEL 5p.;0.0;110.0;2020.0;Gasolina;Manual;15190;Clicars
TOYOTA;Yaris;TOYOTA Yaris 1.5 125 SEdition 5p.;4.0;125.0;2020.0;Gasolina;Automático;15200;Toyota Kuruma Madrid
CITROEN;C3;CITROEN C3 PureTech 60KW 83CV Feel Pack 5p.;0.0;110.0;2020.0;Gasolina;Manual;15250;Jp Carrion
SEAT;Toledo;SEAT Toledo 1.0 TSI 81kW SS XCELLENCE EDITION 5p.;15000.0;110.0;2018.0;Gasolina;Manual;15290;Flexicar Vizcaya
PEUGEOT;308;PEUGEOT 308 SW Active 1.5 BlueHDi 96KW 130CV 5p.;17551.0;130.0;2018.0;Diésel;Manual;15300;Ocasion Plus
SEAT;León;SEAT Leon ST 1.0 TSI 85kW StSp Style 5p.;14476.0;115.0;2019.0;Gasolina;Manual;15300;Galdakauto
KIA;Stonic;KIA Stonic 1.0 TGDi 88kW 120CV Drive 5p.;13094.0;120.0;2018.0;Gasolina;Manual;15300;AUTOCYL OCASION
KIA;ceed Sportswagon;KIA ceed Sportswagon 1.6 CRDi VGT Business 5p.;11857.0;110.0;2018.0;Diésel;Manual;15330;Corgal
CITROEN;C3;CITROEN C3 PureTech 81KW 110CV SS SHINE EAT6 5p.;8567.0;110.0;2020.0;Gasolina;Automático;15350;OK Cars
