Marca,Modelo,Version,Precio,Combustible,Año,Kms,Potencia,Puertas,Cambio,Color,Distribuidor
Ford,Focus,1.0 EcoBoost ST-Line,18399,Gasolina,2019-01-01,32293.0,125,5,Manual,Plata,Autohero.com
Kia,Sportage,1.6 Basic 2WD,16899,Gasolina,2017-01-01,32259.0,132,5,Manual,Blanco,Autohero.com
Peugeot,Rifter,1.5 Blue-HDi Allure Standard,22499,Diésel,2020-01-01,32315.0,102,5,Manual,Gris,Autohero.com
Seat,Ibiza,1.5 TSI FR,22999,Gasolina,2021-01-01,32390.0,150,5,Automático,Azul,Autohero.com
Citroen,C 3,1.0 PureTech Live Edition,7999,Gasolina,2016-01-01,32514.0,68,5,Manual,Negro,Autohero.com
Volkswagen,Tiguan,1.5 TSI Sport DSG,31399,Gasolina,2019-01-01,32724.0,150,5,Automático,Gris,Autohero.com
Hyundai,Tucson,1.6 CRDi Mild-Hybrid N Line ,26399,Diésel,2021-01-01,32580.0,136,5,Manual,Rojo,Autohero.com
Renault,Scenic,1.2 TCe Energy BOSE Edition,13599,Gasolina,2015-01-01,32940.0,132,5,Manual,Dorado,Autohero.com
Skoda,Karoq,1.5 TSI ACT Ambition,21499,Gasolina,2019-01-01,32745.0,150,5,Manual,Rojo,Autohero.com
Renault,Clio,1.2 Collection,7599,Gasolina,2013-01-01,33049.0,75,5,Manual,Gris,Autohero.com
Dacia,Sandero II,0.9 TCe Stepway,10499,Gasolina,2016-01-01,33046.0,90,5,Manual,Plata,Autohero.com
Skoda,Fabia,1.0 TSI Like,12999,Gasolina,2019-01-01,33191.0,95,5,Manual,Blanco,Autohero.com
Volkswagen,Polo,2.0 TSI GTI,24999,Gasolina,2020-01-01,33242.0,200,5,Automático,Blanco,Autohero.com
Ford,Transit,Custom 2.0 TDCI 290 L2 Trend,22299,Diésel,2018-01-01,33313.0,130,5,Manual,Blanco,Autohero.com
Citroen,C 3,1.2 PureTech Shine,14899,Gasolina,2021-01-01,33315.0,110,3,Manual,Gris,Autohero.com
Opel,Corsa,1.4 120 Aniversario,11299,Gasolina,2019-01-01,31488.0,90,5,Manual,Azul,Autohero.com
Ford,Fiesta,1.2 Trend,8799,Gasolina,2013-01-01,31528.0,82,5,Manual,Plata,Autohero.com
Skoda,Fabia,1.0 TSI Like,12999,Gasolina,2019-01-01,33191.0,95,3,Manual,Blanco,Autohero.com
Citroen,C 3,1.2 PureTech Shine,14899,Gasolina,2021-01-01,33315.0,110,5,Manual,Gris,Autohero.com
Peugeot,5008,1.5 Blue-HDi GT Line,25999,Diésel,2019-01-01,33500.0,130,5,Automático,Blanco,Autohero.com
Skoda,Kodiaq,1.5 TSI ACT Ambition,27899,Gasolina,2021-01-01,33625.0,150,5,Manual,Blanco,Autohero.com
Renault,Clio,1.0 SCe Life,13699,Gasolina,2020-01-01,33590.0,72,5,Manual,Rojo,Autohero.com
Mercedes-Benz,Clase CLA,CLA 180,30299,Gasolina,2020-01-01,33653.0,136,5,Automático,Negro,Autohero.com
Toyota,ProAce Verso,1.5 City Family Active L1,23499,Diésel,2021-01-01,33822.0,102,5,Manual,Blanco,Autohero.com
Citroen,C3 Aircross,1.2 PureTech Rip Curl,15099,Gasolina,2019-01-01,33849.0,110,5,Manual,Blanco,Autohero.com
Ford,Kuga,2.0 TDCi Trend 4x2,14499,Diésel,2014-01-01,33989.0,140,5,Manual,Blanco,Autohero.com
Fiat,Tipo,1.0 Life,14999,Gasolina,2021-01-01,34037.0,101,5,Manual,Blanco,Autohero.com
Seat,Ateca,2.0 TDI Style Edition,23999,Diésel,2020-01-01,34115.0,150,5,Manual,Negro,Autohero.com
Ford,Kuga,2.5 Plug-In Hybrid ST-Line X,30499,Híbrido,2020-01-01,34228.0,224,5,Automático,Rojo,Autohero.com
